Permeability,Porosity,Facies
327.131,21.9522,3
324.637,22.2324,3
320.901,21.8328,3
313.343,21.0912,3
302.306,21.3999,3
291.52,20.0604,3
425.837,14.0841,2
405.749,14.58,2
383.895,14.5794,2
362.65,15.3257,2
347.964,14.8728,2
441.443,11.9564,4
357.976,13.8293,2
382.395,13.5783,2
528.46,11.1147,4
551.701,12.2385,4
566.689,13.0896,4
590.763,19.9921,1
623.872,20.5675,1
648.675,20.8802,1
660.116,19.9631,1
654.535,20.6524,1
553.59,26.7647,0
545.625,26.5183,0
382.819,15.3295,4
308.136,14.9966,2
370.233,20.8808,3
370.657,21.5807,3
314.149,14.9637,2
312.866,15.2911,2
537.848,16.4226,1
636.004,25.7244,0
629.62,26.4155,0
616.548,24.5301,0
598.238,23.5487,0
577.551,23.9775,0
540.094,17.9947,1
380.996,15.1257,2
361.762,14.8729,2
342.464,14.6651,2
483.923,19.491,3
505.106,20.0658,3
521.23,20.2809,3
326.781,16.6503,2
343.16,16.4371,2
359.819,17.4829,2
375.173,17.9476,2
392.938,17.6781,2
409.814,17.3849,2
427.08,16.5632,2
446.685,15.401,2
464.452,14.5386,2
377.076,15.5277,4
439.07,18.9791,1
448.48,18.8354,1
462.637,20.0705,1
428.37,15.5632,4
436.443,16.1271,2
437.176,15.0157,2
444.329,13.3637,2
460.014,14.9184,2
481.227,14.0946,2
368.041,18.0952,3
369.438,18.8056,3
374.993,17.9324,3
383.36,18.3641,3
483.059,13.8455,2
380.281,19.5872,3
366.631,21.3406,3
350.774,22.3793,3
338.035,21.459,3
485.079,15.1958,2
484.628,15.5121,2
471.858,16.732,2
326.693,20.4432,3
304.431,19.9285,3
283.915,19.2424,3
266.371,18.0727,3
252.986,17.9633,3
249.304,16.5692,3
253.898,16.3933,3
262.127,15.8024,3
454.343,12.5777,2
460.093,13.2013,2
462.132,12.5258,2
456.337,13.3078,2
446.43,13.3758,2
465.489,16.1948,4
483.446,16.3133,4
493.387,15.663,4
499.197,15.2906,4
507.566,18.7303,1
667.017,25.6507,0
665.602,25.8753,0
669.918,25.0866,0
673.986,24.922,0
673.878,26.1957,0
667.911,26.7085,0
652.911,25.8647,0
628.739,25.5324,0
597.828,26.177,0
563.612,24.7743,0
532.972,24.6369,0
510.14,23.6623,0
499.269,22.8052,0
518.337,21.0614,1
502.832,22.0185,1
483.655,21.6098,1
471.712,22.9181,1
469.855,23.4599,1
571.333,24.4355,0
573.725,25.1437,0
577.289,25.4775,0
576.735,24.0103,0
570.195,24.1321,0
559.226,23.3881,0
33.3234,7.04506,5
39.5771,6.28408,5
45.6453,6.75057,5
50.0161,5.84512,5
50.7461,6.14548,5
47.4892,5.84007,5
41.2997,6.80483,5
33.8591,5.27251,5
27.6391,5.75652,5
26.2652,5.22875,5
27.8771,5.21349,5
32.3969,6.07972,5
35.9787,4.47082,5
41.2644,5.12023,5
46.5057,5.27,5
51.6755,4.80923,5
56.7714,5.50228,5
61.2026,3.98093,5
64.8386,4.48912,5
68.0866,4.89788,5
70.9578,4.18877,5
71.514,5.4712,5
69.4107,2.99213,5
296.554,21.8528,3
302.065,21.8982,3
305.925,21.0732,3
305.999,21.4604,3
299.729,22.1646,3
295.368,20.3712,3
428.322,14.8243,2
410.364,14.7244,2
387.969,14.2114,2
368.115,14.7843,2
353.685,14.9849,2
461.24,12.3684,4
481.631,13.0909,4
382.076,14.5952,2
531.598,13.3944,4
526.156,20.1577,1
552.507,20.8672,1
575.432,13.6454,4
567.728,14.6688,4
641.557,20.3938,1
652.858,20.1314,1
646.726,19.5252,1
628.155,20.8078,1
560.642,26.1412,0
569.373,20.5371,1
320.798,14.0205,2
352.737,20.5077,3
354.684,20.1657,3
328.225,14.681,2
324.273,15.1337,2
524.419,17.3446,1
631.009,25.3624,0
627.695,25.8997,0
616.28,25.0087,0
601.88,24.4314,0
584.877,23.5277,0
565.211,24.2426,0
532.69,15.287,4
361.101,14.6442,2
345.233,14.4758,2
334.736,15.1164,2
523.422,19.0054,3
536.271,18.7833,3
543.152,20.7641,3
361.055,16.9233,2
378.664,17.6727,2
392.281,18.6405,2
403.645,17.6813,2
414.714,17.4767,2
430.96,16.0835,2
447.099,14.8387,2
465.556,14.8314,2
482.89,15.8181,2
446.793,20.1613,1
449.641,20.1636,1
459.406,20.0009,1
473.263,21.1988,1
440.281,15.7546,4
438.602,14.0072,2
448.429,13.7084,2
464.675,14.0226,2
488.897,13.7361,2
517.533,14.5813,2
537.048,14.6987,2
398.754,18.9451,3
408.804,19.9019,3
519.498,14.8216,2
521.687,14.8924,2
384.366,20.5489,3
361.452,20.6479,3
342.022,21.944,3
522.8,15.7929,2
512.429,16.6392,2
494.872,15.208,2
470.504,16.2391,2
305.213,20.5374,3
289.368,18.8935,3
276.566,18.1705,3
267.401,17.1438,3
265.391,16.4374,3
264.78,17.2627,3
268.467,16.0891,3
275.398,16.2406,3
464.829,13.2804,2
469.064,12.9537,2
464.059,12.0402,2
453.9,13.4948,2
442.38,13.2319,2
498.591,16.6882,4
505.126,16.647,4
508.111,14.9178,4
510.891,13.4665,4
645.586,24.9678,0
648.668,24.7097,0
653.824,25.4449,0
657.863,25.9327,0
655.458,25.9766,0
646.187,25.0395,0
626.86,25.6162,0
601.236,26.0661,0
573.104,24.7008,0
544.388,24.7172,0
520.887,23.4888,0
505.578,23.5497,0
499.253,22.9064,0
505.97,20.9899,1
492.087,20.8611,1
477.697,22.7817,1
469.982,23.0936,1
472.423,24.1174,1
483.407,24.1229,1
577.535,24.3892,0
584.848,24.5636,0
587.994,25.9421,0
584.227,24.6464,0
573.601,24.7934,0
557.224,23.0926,0
44.6904,6.852,5
49.9045,6.6016,5
53.3274,7.44009,5
54.2116,7.00691,5
51.1912,5.9273,5
45.3526,4.32311,5
37.9894,4.92925,5
32.8986,4.54808,5
30.2841,4.41714,5
30.8985,5.25336,5
33.8991,4.85069,5
38.0545,4.13992,5
44.3199,5.57829,5
50.2605,5.8286,5
56.48,5.81572,5
