    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -6.19513e+02    -8.99321e-08     2.40324e+02     2.61863e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -4.90031e+02    -7.11358e-08     2.38564e+02     5.91229e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.29456e+02    -6.23423e-08     2.36757e+02     9.29316e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.51489e+02    -6.55409e-08     2.35192e+02     1.22219e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -5.50839e+02    -7.99631e-08     2.33919e+02     1.46006e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -6.67674e+02    -9.69235e-08     2.32845e+02     1.66068e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -7.57584e+02    -1.09975e-07     2.31880e+02     1.84043e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -8.12497e+02    -1.17947e-07     2.30966e+02     2.00949e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.37615e+02    -1.21593e-07     2.30052e+02     2.17689e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.32588e+02    -1.20863e-07     2.29069e+02     2.35368e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -7.92143e+02    -1.14992e-07     2.27943e+02     2.55004e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.26318e+02    -1.05437e-07     2.26764e+02     2.74269e-06     4.00000e+01
    13      8.1910        7     4.00000e+02    -6.44606e+02    -9.35748e-08     2.26710e+02     2.69986e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.43335e+02    -7.88737e-08     2.32470e+02     1.52667e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.69561e+02    -6.81643e-08     2.41607e+02     0.00000e+00     4.00000e+01
    16     32.7670        5     4.00000e+02    -4.11767e+02    -5.97746e-08     2.52274e+02     0.00000e+00     4.00000e+01
    17     49.1510        9     4.00000e+02    -3.29562e+02    -4.78411e-08     2.73245e+02     0.00000e+00     4.00000e+01
    18     65.5350        5     4.00000e+02    -2.66766e+02    -3.87253e-08     2.91464e+02     0.00000e+00     4.00000e+01
    19     98.3030        9     4.00000e+02    -1.85862e+02    -2.69809e-08     3.16547e+02     0.00000e+00     4.00000e+01
    20    163.8390        9     4.00000e+02    -1.07659e+02    -1.56284e-08     3.40713e+02     0.00000e+00     4.00000e+01
    21    229.3750        5     4.00000e+02    -7.06590e+01    -1.02573e-08     3.51967e+02     0.00000e+00     4.00000e+01
    22    360.4470        9     4.00000e+02    -4.87589e+01    -7.07813e-09     3.58762e+02     0.00000e+00     4.00000e+01
