    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -7.42073e+02    -1.07724e-07     2.43139e+02     3.10614e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.84152e+02    -8.47990e-08     2.41469e+02     6.23076e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -5.12409e+02    -7.43843e-08     2.40051e+02     8.88381e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -5.39957e+02    -7.83834e-08     2.38906e+02     1.10261e-06     4.00000e+01
     5      0.0310        2     4.00000e+02    -6.51980e+02    -9.46453e-08     2.37932e+02     1.28464e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -7.76183e+02    -1.12675e-07     2.37043e+02     1.45047e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -8.65603e+02    -1.25656e-07     2.36187e+02     1.60974e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -9.14955e+02    -1.32820e-07     2.35333e+02     1.76750e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -9.28927e+02    -1.34849e-07     2.34454e+02     1.92819e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -9.08251e+02    -1.31847e-07     2.33491e+02     2.10045e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.52505e+02    -1.23755e-07     2.32379e+02     2.29318e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.72373e+02    -1.12122e-07     2.31212e+02     2.48184e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.78126e+02    -9.84407e-08     2.31186e+02     2.43174e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.62352e+02    -8.16344e-08     2.37075e+02     1.23448e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.79430e+02    -6.95969e-08     2.46376e+02     0.00000e+00     4.00000e+01
    16     32.7670        5     4.00000e+02    -4.16160e+02    -6.04122e-08     2.57195e+02     0.00000e+00     4.00000e+01
    17     49.1510        9     4.00000e+02    -3.29428e+02    -4.78216e-08     2.78337e+02     0.00000e+00     4.00000e+01
    18     65.5350        5     4.00000e+02    -2.64837e+02    -3.84453e-08     2.96603e+02     0.00000e+00     4.00000e+01
    19     98.3030        9     4.00000e+02    -1.83497e+02    -2.66376e-08     3.21574e+02     0.00000e+00     4.00000e+01
    20    163.8390       10     4.00000e+02    -1.06177e+02    -1.54132e-08     3.45480e+02     0.00000e+00     4.00000e+01
    21    294.9110       10     4.00000e+02    -5.92493e+01    -8.60097e-09     3.59909e+02     0.00000e+00     4.00000e+01
    22    365.0000        3     4.00000e+02    -4.81780e+01    -6.99381e-09     3.63362e+02     0.00000e+00     4.00000e+01
    23    496.0720        8     4.00000e+02    -4.22804e+01    -6.13767e-09     3.65450e+02     0.00000e+00     4.00000e+01
    24    613.0360        5     4.00000e+02    -4.06767e+01    -5.90487e-09     3.66251e+02     0.00000e+00     4.00000e+01
    25    730.0000        7     4.00000e+02    -4.01915e+01    -5.83444e-09     3.66729e+02     0.00000e+00     4.00000e+01
    26    846.9640        7     4.00000e+02    -4.00421e+01    -5.81275e-09     3.67111e+02     0.00000e+00     4.00000e+01
