    TS         Day   Newton          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        1     2.39256e+02     4.83081e-09     4.00000e+01
     2      0.0030        1     2.39205e+02     1.43791e-08     4.00000e+01
     3      0.0070        1     2.39105e+02     3.30339e-08     4.00000e+01
     4      0.0150        1     2.38915e+02     6.86715e-08     4.00000e+01
     5      0.0310        1     2.38566e+02     1.33932e-07     4.00000e+01
     6      0.0630        1     2.37974e+02     2.44738e-07     4.00000e+01
     7      0.1270        1     2.37085e+02     4.11124e-07     4.00000e+01
     8      0.2550        1     2.35959e+02     6.21764e-07     4.00000e+01
     9      0.5110        1     2.34773e+02     8.43835e-07     4.00000e+01
    10      1.0230        1     2.33666e+02     1.05077e-06     4.00000e+01
    11      2.0470        1     2.32659e+02     1.23917e-06     4.00000e+01
    12      4.0950        1     2.31710e+02     1.41649e-06     4.00000e+01
    13      8.1910        1     2.30775e+02     1.59072e-06     4.00000e+01
    14     16.3830        1     2.29825e+02     1.76708e-06     4.00000e+01
    15     32.7670        1     2.28857e+02     1.94552e-06     4.00000e+01
    16     65.5350        1     2.27883e+02     2.12236e-06     4.00000e+01
    17    131.0710        1     2.26912e+02     2.29330e-06     4.00000e+01
    18    262.1430        1     2.25946e+02     2.45297e-06     4.00000e+01
    19    365.0000        1     2.25438e+02     2.53178e-06     4.00000e+01
    20    627.1440        1     2.24662e+02     2.63757e-06     4.00000e+01
    21    730.0000        1     2.24405e+02     2.67035e-06     4.00000e+01
    22   1095.0000        1     2.23717e+02     2.74878e-06     4.00000e+01
    23   1460.0000        1     2.23118e+02     2.81376e-06     4.00000e+01
    24   1825.0000        1     2.22557e+02     2.87456e-06     4.00000e+01
    25   2190.0000        1     2.22013e+02     2.93491e-06     4.00000e+01
    26   2555.0000        1     2.21477e+02     2.99637e-06     4.00000e+01
    27   2920.0000        1     2.20945e+02     3.05955e-06     4.00000e+01
    28   3285.0000        1     2.20415e+02     3.12467e-06     4.00000e+01
    29   3650.0000        1     2.19886e+02     3.19173e-06     4.00000e+01
    30   4015.0000        1     2.19356e+02     3.26070e-06     4.00000e+01
    31   4380.0000        1     2.18827e+02     3.33147e-06     4.00000e+01
    32   4745.0000        1     2.18298e+02     3.40394e-06     4.00000e+01
    33   5110.0000        1     2.17769e+02     3.47801e-06     4.00000e+01
    34   5475.0000        1     2.17239e+02     3.55357e-06     4.00000e+01
    35   5840.0000        1     2.16710e+02     3.63052e-06     4.00000e+01
    36   6205.0000        1     2.16180e+02     3.70877e-06     4.00000e+01
    37   6570.0000        1     2.15650e+02     3.78824e-06     4.00000e+01
    38   6935.0000        1     2.15120e+02     3.86884e-06     4.00000e+01
    39   7300.0000        1     2.14590e+02     3.95049e-06     4.00000e+01
    40   7665.0000        1     2.14059e+02     4.03314e-06     4.00000e+01
    41   8030.0000        1     2.13529e+02     4.11671e-06     4.00000e+01
    42   8395.0000        1     2.12998e+02     4.20114e-06     4.00000e+01
    43   8760.0000        1     2.12467e+02     4.28638e-06     4.00000e+01
    44   9125.0000        1     2.11936e+02     4.37238e-06     4.00000e+01
    45   9490.0000        1     2.11405e+02     4.45908e-06     4.00000e+01
    46   9855.0000        1     2.10874e+02     4.54644e-06     4.00000e+01
    47  10220.0000        1     2.10342e+02     4.63441e-06     4.00000e+01
    48  10585.0000        1     2.09811e+02     4.72297e-06     4.00000e+01
    49  10950.0000        1     2.09279e+02     4.81207e-06     4.00000e+01
