    TS         Day   Newton          W1:BHP             W1:WAT             W1:OIL          W2:BHP             W2:WAT             W2:OIL
     1      0.0010        2     4.00000e+02    -6.51987e+02    -9.46463e-08     2.43981e+02     2.58228e-07     4.00000e+01
     2      0.0030        2     4.00000e+02    -5.21350e+02    -7.56823e-08     2.42538e+02     5.28313e-07     4.00000e+01
     3      0.0070        2     4.00000e+02    -4.46282e+02    -6.47850e-08     2.41265e+02     7.66512e-07     4.00000e+01
     4      0.0150        2     4.00000e+02    -4.44931e+02    -6.45888e-08     2.40191e+02     9.67477e-07     4.00000e+01
     5      0.0310        2     4.00000e+02    -5.24717e+02    -7.61710e-08     2.39226e+02     1.14785e-06     4.00000e+01
     6      0.0630        3     4.00000e+02    -6.43998e+02    -9.34865e-08     2.38304e+02     1.32008e-06     4.00000e+01
     7      0.1270        3     4.00000e+02    -7.50242e+02    -1.08910e-07     2.37393e+02     1.48984e-06     4.00000e+01
     8      0.2550        4     4.00000e+02    -8.24113e+02    -1.19633e-07     2.36479e+02     1.65943e-06     4.00000e+01
     9      0.5110        4     4.00000e+02    -8.61019e+02    -1.24991e-07     2.35548e+02     1.83082e-06     4.00000e+01
    10      1.0230        4     4.00000e+02    -8.56958e+02    -1.24401e-07     2.34554e+02     2.01118e-06     4.00000e+01
    11      2.0470        5     4.00000e+02    -8.17197e+02    -1.18629e-07     2.33427e+02     2.21097e-06     4.00000e+01
    12      4.0950        6     4.00000e+02    -7.50794e+02    -1.08990e-07     2.32267e+02     2.40631e-06     4.00000e+01
    13      8.1910        8     4.00000e+02    -6.64329e+02    -9.64379e-08     2.32347e+02     2.35069e-06     4.00000e+01
    14     16.3830       10     4.00000e+02    -5.54196e+02    -8.04504e-08     2.38559e+02     1.11607e-06     4.00000e+01
    15     24.5750        6     4.00000e+02    -4.74579e+02    -6.88927e-08     2.48151e+02     0.00000e+00     4.00000e+01
    16     40.9590       10     4.00000e+02    -3.71071e+02    -5.38669e-08     2.69891e+02     0.00000e+00     4.00000e+01
    17     57.3430        6     4.00000e+02    -2.96342e+02    -4.30187e-08     2.89699e+02     0.00000e+00     4.00000e+01
    18     90.1110       10     4.00000e+02    -2.03546e+02    -2.95479e-08     3.17550e+02     0.00000e+00     4.00000e+01
    19    155.6470       10     4.00000e+02    -1.15265e+02    -1.67326e-08     3.44432e+02     0.00000e+00     4.00000e+01
    20    286.7190       10     4.00000e+02    -6.17537e+01    -8.96453e-09     3.60572e+02     0.00000e+00     4.00000e+01
    21    365.0000        3     4.00000e+02    -4.85905e+01    -7.05369e-09     3.64583e+02     0.00000e+00     4.00000e+01
    22    496.0720        8     4.00000e+02    -4.23685e+01    -6.15046e-09     3.66717e+02     0.00000e+00     4.00000e+01
    23    613.0360        6     4.00000e+02    -4.06899e+01    -5.90679e-09     3.67513e+02     0.00000e+00     4.00000e+01
    24    730.0000        6     4.00000e+02    -4.01907e+01    -5.83432e-09     3.67980e+02     0.00000e+00     4.00000e+01
    25    846.9640        6     4.00000e+02    -4.00404e+01    -5.81249e-09     3.68351e+02     0.00000e+00     4.00000e+01
    26    963.9280        8     4.00000e+02    -3.99917e+01    -5.80544e-09     3.68689e+02     0.00000e+00     4.00000e+01
    27   1029.4640        4     4.00000e+02    -3.99924e+01    -5.80554e-09     3.68891e+02     0.00000e+00     4.00000e+01
    28   1095.0000        8     4.00000e+02    -3.99972e+01    -5.80623e-09     3.68961e+02     1.62420e-02     4.00000e+01
    29   1226.0720       10     4.00000e+02    -4.09021e+01    -5.93759e-09     3.67790e+02     1.30095e+00     4.00000e+01
    30   1343.0360        5     4.00000e+02    -4.30609e+01    -6.25098e-09     3.66233e+02     3.96932e+00     4.00000e+01
    31   1460.0000        5     4.00000e+02    -4.63552e+01    -6.72920e-09     3.64391e+02     7.64449e+00     4.00000e+01
    32   1576.9640        5     4.00000e+02    -5.04614e+01    -7.32528e-09     3.62419e+02     1.19885e+01     4.00000e+01
    33   1693.9280        5     4.00000e+02    -5.50154e+01    -7.98636e-09     3.60470e+02     1.66384e+01     4.00000e+01
    34   1825.0000        5     4.00000e+02    -6.03797e+01    -8.76507e-09     3.58384e+02     2.20261e+01     4.00000e+01
    35   1956.0720        5     4.00000e+02    -6.60291e+01    -9.58518e-09     3.56345e+02     2.77011e+01     4.00000e+01
    36   2073.0360        4     4.00000e+02    -7.13830e+01    -1.03624e-08     3.54512e+02     3.30971e+01     4.00000e+01
    37   2190.0000        5     4.00000e+02    -7.70650e+01    -1.11872e-08     3.52641e+02     3.88300e+01     4.00000e+01
